Name,j_phi(kpc s^(-1)),energy_mean(km^2 s^(-2))
BD+17:3248,-80.24389608,-184239.174
2MASS J17360008-5145303,-932.3895562,-168232.2351
2MASS J17383643-5358288,-763.3701602,-183132.1389
2MASS J17400682-6102129,496.303289,-170447.6389
2MASS J17414840-5340354,-560.4964747,-185604.7551
2MASS J17435113-5359333,-661.0206362,-184045.9292
2MASS J17541561-5148268,-99.67906849,-192297.1987
G 154-34,210.0864505,-164865.5674
SMSS J175738.37-454823.5,-385.2892028,-216393.4577
2MASS J18024226-4404426,232.3914615,-164723.5565
2MASS J18050641-4907579,-330.5357359,-194293.0484
2MASS J18272347-5133001,-252.516677,-181313.9924
2MASS J18285086-3434203,-251.4487756,-214292.8757
2MASS J18294122-4504000,-617.1224846,-192345.3606
RAVE J183013.5-455510,-1122.241956,-172297.6527
SMSS J183128.71-341018.4,-390.4054175,-206395.2736
2MASS J18362318-6428124,-1154.421602,-176487.4333
2MASS J18363613-7136597,-1239.238435,-171194.2272
SMSS J183647.89-274333.1,229.3183635,-168613.1239
HD 175305,-1307.762608,-130042.3889
2MASS J18562774-7251331,-136.3474993,-170079.0426
2MASS J19014952-4844359,126.2938555,-197810.4349
2MASS J19050116-1949280,-535.6027993,-174575.3461
SMSS J190911.03-213207.5,43.28879011,-207253.7799
2MASS J19092677-5140208,462.5059479,-153767.5463
SMSS J190931.13-214053.9,-524.4424403,-194049.0005
HD 178443,110.0657315,-135541.2315
HD 179626,-2.075447529,-177188.5274
2MASS J19161821-5544454,-707.8078829,-189969.5239
2MASS J19192768-5959140,516.1100793,-141262.165
2MASS J19215077-4452545,-1108.554102,-173338.7288
2MASS J19232518-5833410,75.20024768,-177981.6663
2MASS J19232941-4425432,891.7442758,-154344.1717
BPS CS 22896-055,-30.14018421,-165779.5442
2MASS J19310426-3707397,113.8028774,-199480.1586
2MASS J19345326-3236567,-17.5123823,-169575.8238
SMSS J193617.38-790231.4,1821.348201,-122694.4276
BPS CS 22896-154,807.0806394,-186595.809
2MASS J19445483-4039459,749.604378,-181895.275
2MASS J19451414-1729269,719.3089871,-167272.3067
2MASS J19552158-4613569,211.520846,-188740.9647
2MASS J19563822-4054235,-723.743354,-127418.8172
