JINA_ID,Ref,Name,Simbad_Identifier,Fe/H,Mg/Fe
1509,ROE14b,CD-38245,CD-38_245, -4.59,0.66
1520,ROE14b,CS22891-184,DENIS_J192612.3-603406, -2.68,0.36
1522,ROE14b,CS22951-077,DENIS_J215753.2-430808, -2.54,0.39
1536,ROE14b,G10-54,G_10-54, -2.29,0.12
1542,ROE14b,G122-69,G_122-69, -2.78,0.35
1546,ROE14b,G25-22,G_145-28, -2.33,0.35
1551,ROE14b,G166-47,G_166-47, -2.46,0.43
1554,ROE14b,G214-1,G_214-1, -2.29,0.3
1558,ROE14b,G238-30,G_238-30, -3.38,0.54
1561,ROE14b,G25-24,G_25-24, -2.11,0.25
1563,ROE14b,CS22180-014,G_272-44, -2.86,0.49
1569,ROE14b,G4-36,G_4-36, -2.17, -0.11
1571,ROE14b,G4-37,G_4-37, -2.73,0.4
1573,ROE14b,G75-56,G_75-56, -2.35,0.34
1575,ROE14b,G90-3,G_90-3, -2.4,0.31
1578,ROE14b,CS29514-007,GD_678, -2.83,0.22
1591,ROE14b,HD106373,HD_106373, -2.61,0.52
1609,ROE14b,HD108317,HD_108317, -2.62,0.5
1637,ROE14b,HD11582,HD_11582, -1.84,0.36
1671,ROE14b,HD122563,HD_122563, -2.97,0.51
1688,ROE14b,HD126587,HD_126587, -3.29,0.61
1702,ROE14b,HD128279,HD_128279, -2.52,0.48
1721,ROE14b,HD13979,HD_13979, -2.97,0.47
1772,ROE14b,HD175606,HD_175606, -2.39,0.3
1775,ROE14b,HD178443,HD_178443, -1.99,0.51
1788,ROE14b,HD186478,HD_186478, -2.75,0.63
1802,ROE14b,HD19445,HD_19445, -2.29,0.46
1814,ROE14b,HD196944,HD_196944, -2.39,0.41
1821,ROE14b,HD200654,HD_200654, -3.13,0.51
1840,ROE14b,HD214362,HD_214362, -2.06,0.43
1879,ROE14b,HD26169,HD_26169, -2.8,0.64
1907,ROE14b,HD338529,HD_338529, -2.6,0.4
1909,ROE14b,HD340279,HD_340279, -3.07,0.24
1945,ROE14b,HD6268,HD_6268, -2.82,0.57
1953,ROE14b,HD64090,HD_64090, -2.03,0.38
2004,ROE14b,HD88609,HD_88609, -3.29,0.63
2019,YON13,HE0057-5959,HE_0057-5959, -4.08,0.51
2023,YON13,HE0228-4047,HE_0228-4047, -3.75,0.26
2024,YON13,HE0231-6025,HE_0231-6025, -3.1,0.39
2025,YON13,HE0253-1331,HE_0253-1331, -3.01,0.25
2027,YON13,HE0314-1739,HE_0314-1739, -2.86,0.04
2037,YON13,HE1055+0104,HE_1055+0104, -2.87,0.21
2038,YON13,HE1116-0054,HE_1116-0054, -3.49,0.07
2039,YON13,HE1142-1422,HE_1142-1422, -2.84,0.4
2040,YON13,HE1201-1512,HE_1201-1512, -3.86,0.2
2041,YON13,HE1204-0744,HE_1204-0744, -2.71, -0.07
2042,YON13,HE1207-3108,HE_1207-3108, -2.7, -0.38
2045,YON13,HE1320-2952,HE_1320-2952, -3.69,0.4
2050,YON13,HE1402-0523,HE_1402-0523, -3.17,0.28
2051,YON13,HE1506-0113,HE_1506-0113, -3.54,0.89
2052,YON13,HE2020-5228,HE_2020-5228, -2.93,0.23
2053,YON13,HE2032-5633,HE_2032-5633, -3.63,0.29
2054,YON13,HE2047-5612,HE_2047-5612, -3.14, -0.02
2055,YON13,HE2135-1924,HE_2135-1924, -3.31, -0.06
2056,YON13,HE2136-6030,HE_2136-6030, -2.88,0.08
2058,YON13,HE2139-5432,HE_2139-5432, -4.02,1.61
2059,YON13,HE2141-0726,HE_2141-0726, -2.72,0.05
2066,ROE14b,CS22948-066,HE_2141-3741, -3.5,0.46
2069,YON13,HE2142-5656,HE_2142-5656, -2.87,0.34
2072,YON13,HE2202-4831,HE_2202-4831, -2.78,0.12
2076,YON13,HE2246-2410,HE_2246-2410, -2.96,0.13
2077,YON13,HE2247-7400,HE_2247-7400, -2.87,0.33
2093,ROE14b,G180-58,LHS_3199, -2.6,0.3
2094,ROE14b,G115-49,LHS_6161, -2.61,0.66
2148,ROE14b,G206-34,Ross_711, -3.17,0.4
2168,ROE14b,HE0938+0114,Ross_889, -3.09,0.36
2172,ROE14b,CS29514-018,SB_467, -2.84,0.27
2176,ROE14b,CS29499-060,SB_966, -2.79,0.28
2538,ROE14b,CS22943-095,TYC_8406-355-1, -2.52,0.4
2551,ROE14b,CS22953-037,UCAC2_5736774, -3.21,0.55
2695,ROE14b,CS22886-013,V*_FV_Aqr, -2.58,0.46
2709,ROE14b,CS30312-062,V*_V456_Ser, -2.64,0.23
2713,ROE14b,G15-10,Wolf_1137, -2.53,0.42
2714,ROE14b,G188-30,Wolf_1143, -2.05,0.28
2728,ROE14b,G64-12,Wolf_1492, -3.58,0.5
2731,ROE14b,G199-66,Wolf_481, -2.14,0.31
2734,ROE14b,G16-25,Wolf_624, -2.08,0.13
