# Object,[Fe/H],[C/Fe]
SAGA_Scl_000020,-1.1,
SAGA_Scl_000023,-2.39,
SAGA_Scl_000023,-3.05,0.3
SAGA_Scl_000024,-1.83,
SAGA_Scl_000024,-1.74,
SAGA_Scl_000024,-2.03,-0.68
SAGA_Scl_000024,-1.72,
SAGA_Scl_000024,-1.74,
SAGA_Scl_000024,-1.98,
SAGA_Scl_000024,-2.02,
SAGA_Scl_000026,-1.89,
SAGA_Scl_000026,-2.03,
SAGA_Scl_000026,-2.03,0.6
SAGA_Scl_000028,-2.16,
SAGA_Scl_000028,-2.04,
SAGA_Scl_000028,-2.02,
SAGA_Scl_000028,-2.04,
SAGA_Scl_000028,-2.54,0.17
SAGA_Scl_000028,-2.23,
SAGA_Scl_000029,-1.45,
SAGA_Scl_000029,-1.5,
SAGA_Scl_000029,-1.57,-0.62
SAGA_Scl_000029,-1.48,
SAGA_Scl_000029,-1.5,
SAGA_Scl_000029,-1.41,
SAGA_Scl_000029,-1.55,
SAGA_Scl_000030,-1.12,
SAGA_Scl_000030,-1.07,
SAGA_Scl_000030,-1.25,-0.94
SAGA_Scl_000030,-1.05,
SAGA_Scl_000030,-1.07,
SAGA_Scl_000030,-1.08,
SAGA_Scl_000030,-1.24,
SAGA_Scl_000031,-1.96,
SAGA_Scl_000031,-1.8,
SAGA_Scl_000031,-1.89,-0.59
SAGA_Scl_000031,-1.78,
SAGA_Scl_000031,-1.8,
SAGA_Scl_000031,-1.81,
SAGA_Scl_000031,-1.88,
SAGA_Scl_000032,-1.47,
SAGA_Scl_000032,-1.45,
SAGA_Scl_000032,-1.47,
SAGA_Scl_000032,-1.49,-0.85
SAGA_Scl_000034,-1.81,
SAGA_Scl_000034,-1.89,
SAGA_Scl_000034,-1.87,
SAGA_Scl_000034,-1.89,
SAGA_Scl_000034,-1.83,
SAGA_Scl_000034,-1.84,-0.68
SAGA_Scl_000035,-2.35,
SAGA_Scl_000035,-2.33,
SAGA_Scl_000035,-2.35,
SAGA_Scl_000035,-2.78,0.22
SAGA_Scl_000036,-1.46,
SAGA_Scl_000036,-1.44,
SAGA_Scl_000036,-1.46,
SAGA_Scl_000036,-1.62,-0.94
SAGA_Scl_000037,-0.97,
SAGA_Scl_000037,-1.08,
SAGA_Scl_000037,-1.06,-0.82
SAGA_Scl_000037,-1.07,
SAGA_Scl_000037,-1.08,
SAGA_Scl_000037,-0.85,
SAGA_Scl_000037,-1.05,
SAGA_Scl_000038,-2.01,
SAGA_Scl_000038,-1.86,
