# Object	Reference	[Fe/H]	[C/Fe]
SAGA_Dra_000210	G.E.Duggan+,ApJ, 869, 50, 2018	-1.97	
SAGA_Dra_000211	E.N.Kirby+,ApJ, 801, 125, 2015	-2.39	-0.98
SAGA_Dra_000211	E.N.Kirby+,ApJS, 191, 352, 2010	-2.08	
SAGA_Dra_000211	G.E.Duggan+,ApJ, 869, 50, 2018	-2.28	
SAGA_Dra_000217	E.N.Kirby+,ApJ, 801, 125, 2015	-2.6	0.06
SAGA_Dra_000217	E.N.Kirby+,ApJS, 191, 352, 2010	-2.3	
SAGA_Dra_000226	E.N.Kirby+,ApJ, 801, 125, 2015	-1.72	-0.67
SAGA_Dra_000226	E.N.Kirby+,ApJS, 191, 352, 2010	-1.44	
SAGA_Dra_000227	E.N.Kirby+,ApJ, 801, 125, 2015	-1.84	-0.38
SAGA_Dra_000227	E.N.Kirby+,ApJS, 191, 352, 2010	-1.47	
SAGA_Dra_000227	G.E.Duggan+,ApJ, 869, 50, 2018	-1.6	
SAGA_Dra_000228	E.N.Kirby+,ApJ, 801, 125, 2015	-1.66	-0.92
SAGA_Dra_000228	E.N.Kirby+,ApJS, 191, 352, 2010	-1.45	
SAGA_Dra_000228	G.E.Duggan+,ApJ, 869, 50, 2018	-1.64	
SAGA_Dra_000230	T.Tsujimoto+,ApJ, 850, L12, 2017		
SAGA_Dra_000230	E.N.Kirby+,ApJ, 801, 125, 2015	-2.48	-0.98
SAGA_Dra_000230	E.N.Kirby+,ApJS, 191, 352, 2010	-2.2	
SAGA_Dra_000230	G.E.Duggan+,ApJ, 869, 50, 2018	-2.46	
SAGA_Dra_000233	E.N.Kirby+,ApJ, 801, 125, 2015	-2.09	-0.31
SAGA_Dra_000233	E.N.Kirby+,ApJS, 191, 352, 2010	-1.77	
SAGA_Dra_000233	G.E.Duggan+,ApJ, 869, 50, 2018	-1.96	
SAGA_Dra_000234	T.Tsujimoto+,ApJ, 850, L12, 2017		
SAGA_Dra_000234	E.N.Kirby+,ApJ, 801, 125, 2015	-2.01	-1.12
SAGA_Dra_000234	E.N.Kirby+,ApJS, 191, 352, 2010	-1.76	
SAGA_Dra_000234	G.E.Duggan+,ApJ, 869, 50, 2018	-1.94	
SAGA_Dra_000235	E.N.Kirby+,ApJ, 801, 125, 2015	-2.39	-0.23
SAGA_Dra_000235	E.N.Kirby+,ApJS, 191, 352, 2010	-2.08	
SAGA_Dra_000235	G.E.Duggan+,ApJ, 869, 50, 2018	-2.18	
SAGA_Dra_000236	E.N.Kirby+,ApJ, 801, 125, 2015	-1.97	0.21
SAGA_Dra_000236	E.N.Kirby+,ApJS, 191, 352, 2010	-1.66	
SAGA_Dra_000238	E.N.Kirby+,ApJ, 801, 125, 2015	-1.7	-0.37
SAGA_Dra_000238	E.N.Kirby+,ApJS, 191, 352, 2010	-1.4	
SAGA_Dra_000239	E.N.Kirby+,ApJ, 801, 125, 2015	-2.82	0.36
SAGA_Dra_000239	E.N.Kirby+,ApJS, 191, 352, 2010	-2.56	
