# Object,[Fe/H],[Mg/Fe]
SAGA_For_000025,-0.79,-0.24
SAGA_For_000025,-1.01,
SAGA_For_000026,-0.99,
SAGA_For_000026,-0.87,
SAGA_For_000026,-0.89,-0.44
SAGA_For_000030,-0.5,
SAGA_For_000030,-0.66,-0.1
SAGA_For_000030,-0.59,-0.1
SAGA_For_000032,-1.31,
SAGA_For_000032,-1.4,
SAGA_For_000032,-1.19,-0.39
SAGA_For_000032,-1.4,
SAGA_For_000034,-1,
SAGA_For_000034,-0.88,0.01
SAGA_For_000049,-1,
SAGA_For_000049,-0.91,-0.17
SAGA_For_000049,-0.82,-0.4
SAGA_For_000051,-1.06,
SAGA_For_000051,-0.96,-0.18
SAGA_For_000057,-0.5,
SAGA_For_000057,-0.77,
SAGA_For_000057,-0.54,-0.22
SAGA_For_000059,-0.6,
SAGA_For_000059,-0.84,-0.2
SAGA_For_000071,-0.9,
SAGA_For_000071,-0.85,-0.21
SAGA_For_000077,-0.8,
SAGA_For_000077,-0.92,0.16
SAGA_For_000086,-0.6,
SAGA_For_000086,-0.67,-0.25
SAGA_For_000092,-1.07,
SAGA_For_000092,-1.02,0.05
SAGA_For_000107,-0.6,
SAGA_For_000107,-0.62,-0.34
SAGA_For_000117,-0.8,
SAGA_For_000117,-0.85,
SAGA_For_000117,-0.86,-0.16
SAGA_For_000197,-1.38,0.02
SAGA_For_000197,-1.42,
SAGA_For_000241,-0.84,-0.21
SAGA_For_000241,-1.07,
SAGA_For_000243,-0.3,-0.33
SAGA_For_000243,-0.92,
SAGA_For_000247,-2.09,0.42
SAGA_For_000247,-1.91,
SAGA_For_000256,-0.91,-0.18
SAGA_For_000256,-0.9,
SAGA_For_000271,-0.67,-0.42
SAGA_For_000271,-0.91,
SAGA_For_000277,-0.86,-0.19
SAGA_For_000277,-1.02,
SAGA_For_000283,-2.31,0.64
SAGA_For_000283,,
SAGA_For_000295,-0.9,-0.26
SAGA_For_000295,-0.86,
SAGA_For_000301,-0.7,-0.1
SAGA_For_000301,-0.82,
SAGA_For_000305,-0.26,-0.06
SAGA_For_000305,-0.93,
SAGA_For_000306,-0.82,-0.22
SAGA_For_000306,-0.86,
SAGA_For_000309,-0.94,-0.26
SAGA_For_000309,-0.84,
SAGA_For_000317,-1.58,-0.19
SAGA_For_000317,-1.41,
SAGA_For_000318,-0.44,-0.12
SAGA_For_000318,-0.64,
SAGA_For_000319,-1.68,0.22
SAGA_For_000319,-1.62,
SAGA_For_000322,-0.62,-0.19
SAGA_For_000322,-0.97,
SAGA_For_000323,-0.74,-0.08
SAGA_For_000323,-0.85,
SAGA_For_000331,-0.88,-0.48
SAGA_For_000331,-1.04,
SAGA_For_000346,-0.88,-0.03
SAGA_For_000346,-0.95,
SAGA_For_000362,-0.64,-0.15
SAGA_For_000362,-0.64,
SAGA_For_000378,-0.82,
SAGA_For_000378,-0.82,0.08
SAGA_For_000378,-0.74,
SAGA_For_000381,-0.64,
SAGA_For_000381,-0.67,-0.05
SAGA_For_000381,-0.82,
SAGA_For_000390,-0.88,0
SAGA_For_000390,-0.61,
SAGA_For_000397,-0.7,-0.08
SAGA_For_000397,-0.76,
SAGA_For_000399,-0.63,-0.14
SAGA_For_000399,-0.49,
SAGA_For_000407,-1.53,
SAGA_For_000407,-1.52,0.17
SAGA_For_000407,-1.75,
SAGA_For_000415,-0.72,
SAGA_For_000415,-0.73,-0.06
SAGA_For_000415,-0.62,
SAGA_For_000415,-0.77,-0.39
SAGA_For_000419,-0.54,
SAGA_For_000419,-0.61,-0.31
SAGA_For_000421,-0.71,
SAGA_For_000421,-0.69,-0.09
SAGA_For_000421,-0.65,
SAGA_For_000424,-0.59,
SAGA_For_000424,-0.75,-0.05
SAGA_For_000424,-0.77,
SAGA_For_000425,-0.85,
SAGA_For_000425,-0.95,-0.04
SAGA_For_000425,-0.79,
SAGA_For_000429,-0.58,
SAGA_For_000429,-0.49,-0.41
SAGA_For_000432,-0.58,
SAGA_For_000432,-0.73,-0.54
SAGA_For_000435,-0.77,
SAGA_For_000435,-0.99,-0.17
SAGA_For_000437,-0.5,
SAGA_For_000437,,
SAGA_For_000437,-0.48,
SAGA_For_000437,-0.68,-0.46
SAGA_For_000440,-0.88,
SAGA_For_000440,-0.91,-0.08
SAGA_For_000440,-0.89,
SAGA_For_000442,-0.58,
SAGA_For_000442,-0.82,-0.08
SAGA_For_000451,,
SAGA_For_000451,-0.56,
SAGA_For_000451,-0.82,0.16
SAGA_For_000452,-0.87,
SAGA_For_000452,-0.7,-0.15
SAGA_For_000453,-0.76,
SAGA_For_000453,-0.86,-0.09
SAGA_For_000453,-0.41,
SAGA_For_000461,-0.28,
SAGA_For_000461,-0.59,-0.03
SAGA_For_000468,-0.78,
SAGA_For_000468,-0.76,-0.19
SAGA_For_000469,-0.86,
SAGA_For_000469,-0.89,-0.11
SAGA_For_000469,-0.91,
SAGA_For_000471,,
SAGA_For_000471,-0.8,
SAGA_For_000471,-0.97,0.41
SAGA_For_000472,-0.51,
SAGA_For_000472,-0.57,-0.2
SAGA_For_000474,-1,-0.12
SAGA_For_000474,-0.93,
SAGA_For_000475,-0.99,
SAGA_For_000475,-0.97,-0.09
SAGA_For_000475,-1.03,
SAGA_For_000478,-0.86,
SAGA_For_000478,-0.87,0
SAGA_For_000478,-1.02,
SAGA_For_000481,-0.69,
SAGA_For_000481,-0.78,-0.03
SAGA_For_000481,-0.47,
SAGA_For_000483,-0.92,
SAGA_For_000483,-0.86,-0.29
SAGA_For_000489,-1.44,
SAGA_For_000489,-1.43,-0.02
SAGA_For_000489,-1.71,
SAGA_For_000591,-1.1,0.15
SAGA_For_000591,-0.99,
SAGA_For_000602,-0.97,-0.19
SAGA_For_000602,-1.17,
SAGA_For_000610,-0.94,-0.19
SAGA_For_000610,-0.88,
SAGA_For_000624,-1.24,0.06
SAGA_For_000624,-0.94,
SAGA_For_000630,-1.44,0.04
SAGA_For_000630,-0.78,
SAGA_For_000631,-1.41,-0.09
SAGA_For_000631,-1.42,
SAGA_For_000636,-1.07,-0.28
SAGA_For_000636,-0.89,
SAGA_For_000637,-1.34,-0.2
SAGA_For_000637,-1.09,
SAGA_For_000646,-1.69,0.04
SAGA_For_000646,-1.31,
SAGA_For_000659,-3.66,0.44
SAGA_For_000659,-2.61,
SAGA_For_000689,-0.69,
SAGA_For_000689,-0.79,-0.34
SAGA_For_000690,-0.74,
SAGA_For_000690,-0.73,0
SAGA_For_000691,-0.86,
SAGA_For_000691,-0.86,-0.08
SAGA_For_000692,-0.9,
SAGA_For_000692,-0.89,-0.09
SAGA_For_000693,-0.87,
SAGA_For_000693,-0.86,-0.13
SAGA_For_000693,-0.98,-0.08
SAGA_For_000694,-0.8,
SAGA_For_000694,-0.83,-0.01
SAGA_For_000694,-0.8,-0.3
SAGA_For_000695,-0.88,
SAGA_For_000695,-0.82,-0.13
SAGA_For_000696,-0.85,
SAGA_For_000696,-0.89,0.03
SAGA_For_000696,-0.84,-0.24
SAGA_For_000697,-0.72,
SAGA_For_000697,-0.72,-0.02
SAGA_For_000698,-2.65,
SAGA_For_000698,-2.6,0.38
SAGA_For_000699,-0.95,
SAGA_For_000699,-0.96,-0.06
SAGA_For_000700,-0.93,
SAGA_For_000700,-0.95,0.02
SAGA_For_000701,-0.79,
SAGA_For_000701,-0.79,-0.29
SAGA_For_000708,-0.49,-0.71
SAGA_For_000710,-0.94,0.4
SAGA_For_000716,-0.5,-0.16
SAGA_For_000718,-0.79,0.35
SAGA_For_000719,-0.67,0.2
SAGA_For_000721,-0.79,-0.74
SAGA_For_000723,-0.91,0
SAGA_For_000729,-0.94,0.07
SAGA_For_000730,-0.4,-0.07
SAGA_For_000733,-1.32,0
SAGA_For_000735,-0.51,-0.11
SAGA_For_000738,-0.62,0.77
SAGA_For_000739,-0.29,0.61
SAGA_For_000740,-0.68,-0.15
SAGA_For_000744,-0.81,0.11
SAGA_For_000745,-0.78,-0.16
SAGA_For_000746,-0.68,0.51
SAGA_For_000748,-0.73,-0.18
SAGA_For_000749,-0.99,0.19
SAGA_For_000751,-1.16,0.07
SAGA_For_000752,-0.99,-0.04
SAGA_For_000754,-1.01,-0.1
SAGA_For_000755,-0.76,-0.11
SAGA_For_000757,-1.1,0
SAGA_For_000759,-0.64,-0.34
SAGA_For_000760,-0.09,-0.35
SAGA_For_000761,-0.92,-0.29
SAGA_For_000763,-0.43,-0.36
SAGA_For_000765,-0.86,
SAGA_For_000765,-0.69,-0.42
SAGA_For_000767,-1.09,0.19
SAGA_For_000768,-0.84,-0.46
SAGA_For_000769,-0.85,0.22
SAGA_For_000770,-0.98,-0.3
SAGA_For_000771,-1.27,-0.14
SAGA_For_000773,-0.38,0.31
SAGA_For_000774,-0.54,-0.82
SAGA_For_000775,-0.54,0.11
SAGA_For_000776,-0.79,-0.65
SAGA_For_000777,-1.36,0.49
SAGA_For_000778,-0.94,-0.29
SAGA_For_000779,-0.97,0.45
SAGA_For_000780,-0.94,-0.15
SAGA_For_000780,-0.7,-0.41
SAGA_For_000783,-0.69,0.11
SAGA_For_000784,-0.87,0.04
SAGA_For_000785,-0.89,-0.4
SAGA_For_000787,-0.53,0.09
SAGA_For_000788,-0.68,-0.19
SAGA_For_000789,-0.96,0
SAGA_For_000790,-0.61,0.17
SAGA_For_000792,-1.04,-0.48
SAGA_For_000794,-0.28,-0.04
SAGA_For_000796,-0.74,-0.06
SAGA_For_000799,-0.7,0.47
SAGA_For_000800,-0.68,-0.02
SAGA_For_000802,-0.39,-0.23
SAGA_For_000803,-0.84,
SAGA_For_000803,-0.7,0.28
SAGA_For_000803,-0.83,
SAGA_For_000805,-1.17,
SAGA_For_000805,-0.92,-0.33
SAGA_For_000805,-1.17,
SAGA_For_000806,-1.05,0.51
SAGA_For_000807,-1.04,0.06
SAGA_For_000808,-1.1,
SAGA_For_000808,-0.88,0.12
SAGA_For_000810,-1.3,
SAGA_For_000810,-1.11,0.57
SAGA_For_000811,-1.12,
SAGA_For_000811,-0.87,-0.23
SAGA_For_000812,-1.11,0.07
SAGA_For_000813,-1.09,0.02
SAGA_For_000816,-0.83,-0.38
SAGA_For_000817,-0.66,-0.02
SAGA_For_000819,-0.59,-0.19
SAGA_For_000820,-0.7,0.14
SAGA_For_000821,-0.63,-0.21
SAGA_For_000822,-0.76,-0.43
SAGA_For_000823,-0.8,0
SAGA_For_000825,-0.41,-0.33
SAGA_For_000826,-0.91,
SAGA_For_000826,-0.67,-0.32
SAGA_For_000827,-0.84,-0.32
SAGA_For_000828,-1.03,-0.75
SAGA_For_000829,-0.79,-0.5
SAGA_For_000830,-1.19,0.88
SAGA_For_000832,-0.91,-0.38
SAGA_For_000833,-0.99,0.57
SAGA_For_000834,-1.13,
SAGA_For_000834,-0.86,-0.33
SAGA_For_000835,-0.82,
SAGA_For_000835,-0.51,-0.1
SAGA_For_000836,-0.98,
SAGA_For_000836,-0.85,-0.43
SAGA_For_000837,-0.62,-0.09
SAGA_For_000838,-0.89,
SAGA_For_000838,-0.65,-0.16
SAGA_For_000838,-0.88,
SAGA_For_000839,-1.33,0.22
SAGA_For_000841,-1.08,
SAGA_For_000841,-0.87,0.27
SAGA_For_000844,-0.77,-0.23
SAGA_For_000846,-0.89,
SAGA_For_000846,-0.62,-0.3
SAGA_For_000846,-0.89,
SAGA_For_000847,-0.9,-0.11
